,name,date
0,1&1 AG,2026-01-04
1,"10X Genomics, Inc.",2026-01-04
2,11 88 0 Solutions AG,2026-01-04
3,11 Bit Studios SA,2026-01-04
4,"1Life Healthcare, Inc.",2026-01-04
5,1Spatial Plc,2026-01-04
6,1st Source Corporation,2026-01-04
7,"20230930-DK-Butterfly-1, Inc.",2026-01-04
8,29Metals Limited,2026-01-04
9,2G Energy AG,2026-01-04
10,"2U, Inc.",2026-01-04
11,"2seventy Bio, Inc.",2026-01-04
12,3-D Matrix Ltd.,2026-01-04
13,360 One Wam Limited,2026-01-04
14,361 Degrees International Limited,2026-01-04
15,37 Interactive Entertainment Network Technology Group Co. Ltd.,2026-01-04
16,3D Systems Corporation,2026-01-04
17,3DG Holdings (International) Limited,2026-01-04
18,3M Company,2026-01-04
19,3M India Limited,2026-01-04
20,3P Learning Limited,2026-01-04
21,"3S KOREA Co., Ltd.",2026-01-04
22,"3SBio, Inc.",2026-01-04
23,"3billion, Inc.",2026-01-04
24,3i Group PLC,2026-01-04
25,"3peak, Inc.",2026-01-04
26,"4D Molecular Therapeutics, Inc.",2026-01-04
27,4DMedical Limited,2026-01-04
28,4imprint Group Plc,2026-01-04
29,"51job, Inc.",2026-01-04
30,577 Investment Corp.,2026-01-04
31,"5E Advanced Materials, Inc.",2026-01-04
32,5G Networks Limited,2026-01-04
33,63 moons technologies limited,2026-01-04
34,7-Eleven Malaysia Holdings Berhad,2026-01-04
35,74Software,2026-01-04
36,"8x8, Inc.",2026-01-04
37,"908 Devices, Inc.",2026-01-04
38,"91APP, Inc.",2026-01-04
39,99 Speed Mart Retail Holdings Bhd.,2026-01-04
40,A Holdings Corp.,2026-01-04
41,"A&D Holon Holdings Co., Ltd.",2026-01-04
42,A&J Mucklow Group Ltd.,2026-01-04
43,"A-Living Smart City Services Co., Ltd.",2026-01-04
44,A. O. Smith Corporation,2026-01-04
45,A.C.N. 004 410 833 Ltd.,2026-01-04
46,A.C.N. 092 200 854 Ltd.,2026-01-04
47,A.G. BARR Plc,2026-01-04
48,A.M. Castle & Co.,2026-01-04
49,A.P. Moller-Maersk A/S,2026-01-04
50,A.S. Creation Tapeten AG,2026-01-04
51,"A10 Networks, Inc.",2026-01-04
52,A2A SpA,2026-01-04
53,A2B Australia Limited,2026-01-04
54,AA Ltd.,2026-01-04
55,AAC Technologies Holdings Inc.,2026-01-04
56,AAK AB,2026-01-04
57,"AAON, Inc.",2026-01-04
58,AAR Corp.,2026-01-04
59,AB SA,2026-01-04
60,AB Science SA,2026-01-04
61,ABA Chemicals Corp.,2026-01-04
62,ABB India Limited,2026-01-04
63,ABB Ltd.,2026-01-04
64,ABC arbitrage SA,2026-01-04
65,"ABC-MART, INC.",2026-01-04
66,ABI SAB Group Holding Ltd.,2026-01-04
67,"ABIOMED, Inc.",2026-01-04
68,"ABKO Co., Ltd.",2026-01-04
69,"ABL Bio, Inc.",2026-01-04
70,"ABLE C&C Co., Ltd.",2026-01-04
71,ABM INDUSTRIES INCORPORATED,2026-01-04
72,ABN AMRO Bank NV,2026-01-04
73,ABN AMRO Group NV,2026-01-04
74,ABOUT YOU Holding SE,2026-01-04
75,AC SA,2026-01-04
76,ACC Limited,2026-01-04
77,ACCO Brands Corporation,2026-01-04
78,ACEN Corporation,2026-01-04
79,"ACES Electronics Co., Ltd.",2026-01-04
80,"ACI Worldwide, Inc.",2026-01-04
81,ACL Cables Plc,2026-01-04
82,"ACM Research (Shanghai), Inc.",2026-01-04
83,"ACM Research, Inc.",2026-01-04
84,"ACOM Co., Ltd.",2026-01-04
85,ACOMO NV,2026-01-04
86,ACRES Commercial Realty Corp.,2026-01-04
87,"ACS, Actividades de Construccion y Servicios SA",2026-01-04
88,ACSL Ltd.,2026-01-04
89,AD Plastik dd,2026-01-04
90,ADAMA Ltd.,2026-01-04
91,"ADATA Technology Co., Ltd.",2026-01-04
92,ADBRI Ltd.,2026-01-04
93,ADICON Holdings Ltd.,2026-01-04
94,"ADK Holdings, Inc.",2026-01-04
95,ADLER Group SA,2026-01-04
96,ADLER Real Estate AG,2026-01-04
97,"ADMA Biologics, Inc.",2026-01-04
98,ADNH Catering Plc,2026-01-04
99,ADNOC Gas Plc,2026-01-04
100,ADNOC Logistics & Services Plc,2026-01-04
101,ADT Inc.,2026-01-04
102,"ADTRAN Holdings, Inc.",2026-01-04
103,"ADVAN GROUP CO., LTD",2026-01-04
104,ADvTECH Ltd.,2026-01-04
105,"AECC Aviation Power Co., Ltd.",2026-01-04
106,AECI Ltd.,2026-01-04
107,AECOM,2026-01-04
108,AED Oil Ltd.,2026-01-04
109,AEDAS Homes SA,2026-01-04
110,AEM Holdings Ltd.,2026-01-04
111,AEON CO. (M) BHD.,2026-01-04
112,"AEON Co., Ltd.",2026-01-04
113,AEON Credit Service (M) Berhad,2026-01-04
114,"AEON DELIGHT CO., LTD.",2026-01-04
115,"AEON Fantasy Co., Ltd.",2026-01-04
116,"AEON Financial Service Co., Ltd.",2026-01-04
117,AEON Hokkaido Corp.,2026-01-04
118,"AEON Mall Co., Ltd.",2026-01-04
119,AEON REIT Investment Corp.,2026-01-04
120,AEON Thana Sinsap (Thailand) Public Co. Ltd.,2026-01-04
121,AES Andes SA,2026-01-04
122,AES Brasil Energia SA,2026-01-04
123,AES Tiete Energia SA,2026-01-04
124,AES Tiete SA,2026-01-04
125,"AFC-HD AMS Life Science Co., Ltd.",2026-01-04
126,AFI Properties Ltd.,2026-01-04
127,AFMA SA,2026-01-04
128,AFP ProVida SA,2026-01-04
129,AFRY AB,2026-01-04
130,AFRY Group Finland Oy,2026-01-04
131,AFT Pharmaceuticals Limited,2026-01-04
132,AG Anadolu Grubu Holding AS,2026-01-04
133,AGABANG & Co.,2026-01-04
134,"AGC, Inc. (Japan)",2026-01-04
135,AGCO Corporation,2026-01-04
136,AGES Industri AB,2026-01-04
137,AGL Energy Limited,2026-01-04
138,AGNC Investment Corp.,2026-01-04
139,AGRANA Beteiligungs-AG,2026-01-04
140,AGV Products Corp.,2026-01-04
141,AIA Engineering Limited,2026-01-04
142,AIA Group Limited,2026-01-04
143,AIB Group plc,2026-01-04
