,ticker,ticker_,country,id,isin,meetingDate,meetingId,meetingType
588,000426,,China,567761,CNE000000D24,2026-03-30 00:00:00,2053745,Special
589,000426,,China,567761,CNE000000D24,2026-02-11 00:00:00,2036729,Special
1901,001040,,South Korea,505557,KR7001040005,2026-03-26 00:00:00,2049054,Annual
1902,001040,,South Korea,505557,KR7001040005,2025-03-26 00:00:00,1935412,Annual
1903,001040,,South Korea,505557,KR7001040005,2024-03-28 00:00:00,1832029,Annual
1904,001040,,South Korea,505557,KR7001040005,2023-03-29 00:00:00,1724131,Annual
1905,001040,,South Korea,505557,KR7001040005,2022-03-29 00:00:00,1617914,Annual
1906,001040,,South Korea,505557,KR7001040005,2021-03-31 00:00:00,1516030,Annual
1907,001040,,South Korea,505557,KR7001040005,2020-03-30 00:00:00,1404392,Annual
1908,001040,,South Korea,505557,KR7001040005,2019-03-27 00:00:00,1304129,Annual
1909,001040,,South Korea,505557,KR7001040005,2018-03-27 00:00:00,1207978,Annual
1910,001040,,South Korea,505557,KR7001040005,2017-03-24 00:00:00,1120414,Annual
1911,001040,,South Korea,505557,KR7001040005,2016-03-18 00:00:00,1033638,Annual
1912,001040,,South Korea,505557,KR7001040005,2015-03-20 00:00:00,946892,Annual
1913,001040,,South Korea,505557,KR7001040005,2014-03-21 00:00:00,856382,Annual
1914,001040,,South Korea,505557,KR7001040005,2013-03-22 00:00:00,776734,Annual
3374,002378,,China,600270,CNE100000MX2,2026-03-30 00:00:00,2053730,Special
3375,002378,,China,600270,CNE100000MX2,2026-02-27 00:00:00,2038238,Special
3376,002378,,China,600270,CNE100000MX2,2026-01-16 00:00:00,2032395,Special
3577,002428,,China,601288,CNE100000Q27,2026-02-27 00:00:00,2039495,Special
3578,002428,,China,601288,CNE100000Q27,2026-01-28 00:00:00,2034167,Special
3883,002487,,China,602962,CNE100000VV7,2026-04-03 00:00:00,2049157,Annual
3884,002487,,China,602962,CNE100000VV7,2026-01-30 00:00:00,2034657,Special
4192,002611,,China,607498,CNE1000016L3,2026-04-17 00:00:00,2057110,Annual
4193,002611,,China,607498,CNE1000016L3,2026-03-27 00:00:00,2052223,Special
4196,002624,,China,608235,CNE1000018W6,2025-10-27 00:00:00,2014151,Special
4197,002624,,China,608235,CNE1000018W6,2025-05-26 00:00:00,1962515,Annual
4198,002624,,China,608235,CNE1000018W6,2024-05-17 00:00:00,1850587,Annual
4199,002624,,China,608235,CNE1000018W6,2024-01-08 00:00:00,1812112,Special
4200,002624,,China,608235,CNE1000018W6,2023-04-28 00:00:00,1740842,Annual
4201,002624,,China,608235,CNE1000018W6,2022-05-16 00:00:00,1642473,Annual
4202,002624,,China,608235,CNE1000018W6,2018-11-07 00:00:00,1275690,Special
4203,002624,,China,608235,CNE1000018W6,2018-07-31 00:00:00,1255334,Special
4204,002624,,China,608235,CNE1000018W6,2018-07-06 00:00:00,1251303,Special
4205,002624,,China,608235,CNE1000018W6,2018-07-02 00:00:00,1250823,Special
4206,002624,,China,608235,CNE1000018W6,2018-06-27 00:00:00,1249672,Special
4207,002624,,China,608235,CNE1000018W6,2018-04-19 00:00:00,1219250,Annual
