2026-04-12 22:58:57,661 - INFO - Starting companies info quering
2026-04-12 22:58:57,662 - INFO - Loading input file: data/tickers.csv
2026-04-12 22:58:57,683 - INFO - Total rows in input CSV: 14824
2026-04-12 22:59:14,332 - ERROR - Unexpected error for 000623: If using all scalar values, you must pass an index
2026-04-12 22:59:17,849 - ERROR - Unexpected error for 000698: If using all scalar values, you must pass an index
2026-04-12 22:59:18,517 - ERROR - Unexpected error for 000707: If using all scalar values, you must pass an index
2026-04-12 22:59:25,484 - ERROR - Unexpected error for 000831: If using all scalar values, you must pass an index
2026-04-12 22:59:41,496 - ERROR - Unexpected error for 002019: If using all scalar values, you must pass an index
2026-04-12 22:59:43,432 - ERROR - Unexpected error for 002037: If using all scalar values, you must pass an index
2026-04-12 22:59:46,827 - ERROR - Unexpected error for 002082: If using all scalar values, you must pass an index
2026-04-12 22:59:55,614 - ERROR - Unexpected error for 002234: If using all scalar values, you must pass an index
2026-04-12 22:59:57,529 - ERROR - Unexpected error for 002258: If using all scalar values, you must pass an index
2026-04-12 23:00:02,465 - ERROR - Unexpected error for 002333: If using all scalar values, you must pass an index
2026-04-12 23:00:04,875 - ERROR - Unexpected error for 002369: If using all scalar values, you must pass an index
2026-04-12 23:00:08,832 - ERROR - Unexpected error for 002414: If using all scalar values, you must pass an index
2026-04-12 23:00:12,565 - ERROR - Unexpected error for 002457: If using all scalar values, you must pass an index
2026-04-12 23:00:23,824 - ERROR - Unexpected error for 002632: If using all scalar values, you must pass an index
2026-04-12 23:00:24,258 - ERROR - Unexpected error for 002644: If using all scalar values, you must pass an index
2026-04-12 23:00:31,449 - ERROR - Unexpected error for 002925: If using all scalar values, you must pass an index
2026-04-12 23:01:13,960 - ERROR - Unexpected error for 015860: If using all scalar values, you must pass an index
2026-04-12 23:01:36,240 - ERROR - Unexpected error for 0292: If using all scalar values, you must pass an index
2026-04-12 23:02:40,730 - ERROR - Unexpected error for 1: If using all scalar values, you must pass an index
2026-04-12 23:02:46,575 - ERROR - Unexpected error for 104200: If using all scalar values, you must pass an index
2026-04-12 23:04:47,115 - ERROR - Unexpected error for 2: If using all scalar values, you must pass an index
2026-04-12 23:05:06,485 - ERROR - Unexpected error for 2142: If using all scalar values, you must pass an index
